trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-169.48057236161637,"{0: 13, 1: 5, 2: 4, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-29.381348275547445,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-56.566084658420294,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,2,-75.98940613022694,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-68.21685602914351,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-93.85942958539988,"{0: 18, 1: 4, 2: 1, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-127.57948712214088,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,12,-22.734373974104322,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,1,-139.91492381457246,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 3}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,3,-36.98802439657943,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,8,-27.112669304979946,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,7,-65.01965578570295,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-58.10716156007987,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-138.93851000537936,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-44.89196706927828,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,3.8541785595553604,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",35,17,-51.070312713357886,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 2}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,5,-75.31023851501521,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,13,-18.449656489853723,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-63.98172806874585,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,-107.20110714957357,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,0,2.1923027005497597,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,20.447809798578717,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,6,-14.340429469052392,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,5,-4.2837086982015595,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,6,15.817083009412126,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,17,-8.755690057813622,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,5,-5.5670494048763235,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",25,0,24.704986745339117,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,1,-14.042021122761998,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
