trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-176.2432124728436,"{0: 17, 1: 4, 2: 6, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-54.837663162790385,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-30.57532443581519,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-177.08062163882082,"{0: 13, 1: 6, 2: 2, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-159.53189933100674,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-100.26559919867837,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-102.83556096709513,"{0: 18, 1: 5, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-103.0009362716071,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-153.07004598965258,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-104.26355792788529,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-167.20104939647345,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-30.32106897776341,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-56.960224669850156,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-137.56060993511306,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-193.01341772754307,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-64.31436257340715,"{0: 14, 1: 4, 2: 0, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-64.49698343913415,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-106.84363630066422,"{0: 18, 1: 6, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-183.71901897108023,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-102.98721586341962,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,0,-73.66312291636437,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-51.72997362207572,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,-94.02917505640887,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",30,0,-224.12139848250698,"{0: 15, 1: 2, 2: 8, 3: 3, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,0,-36.977676302953476,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,-87.88317681272497,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",25,0,-200.09252940102994,"{0: 12, 1: 4, 2: 4, 3: 2, 4: 3}",0
8,True,"{'a': 0, 'e': 0}",30,0,-226.19814547805913,"{0: 11, 1: 6, 2: 9, 3: 2, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",25,0,-110.63918834990127,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",25,0,-94.95836187026023,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
